yahoofin,Ticker,Short Name,Equity Traded Val:M-1,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
SPY,SPY US Equity,SPDR S&P 500 ETF,64.89B,721.63B,680.73,--,17.17,--
QQQ,QQQ US Equity,INVESCO QQQ TRUS,48.63B,401.55B,610.54,--,19.87,--
TSLA,TSLA US Equity,TESLA INC,42.12B,1.58T,475.31,341.81,17.7,95.63B
NVDA,NVDA US Equity,NVIDIA CORP,34.81B,4.28T,176.29,44.61,31.31,187.14B
MSFT,MSFT US Equity,MICROSOFT CORP,14.45B,3.53T,474.82,33.61,13.48,293.81B
IWM,IWM US Equity,ISHARES RUSSELL,13.80B,75.00B,251.93,--,14.91,--
AAPL,AAPL US Equity,APPLE INC,12.99B,4.05T,274.11,36.69,9.95,416.16B
META,META US Equity,META PLATFORMS-A,12.60B,1.63T,647.51,22.66,10.93,189.46B
AMD,AMD US Equity,ADV MICRO DEVICE,11.72B,337.95B,207.58,99.64,71.85,32.03B
TQQQ,TQQQ US Equity,PROSHARES UL QQQ,11.54B,28.81B,52.02,--,32.38,--
PLTR,PLTR US Equity,PALANTIR TECHN-A,10.80B,436.58B,183.25,436.88,142.3,3.90B
AMZN,AMZN US Equity,AMAZON.COM INC,9.18B,2.38T,222.54,33.29,1.44,691.33B
MU,MU US Equity,MICRON TECH,8.95B,267.27B,237.5,30.71,183.02,37.38B
GOOGL,GOOGL US Equity,ALPHABET INC-A,8.76B,3.73T,308.22,35.38,63.47,385.48B
ORCL,ORCL US Equity,ORACLE CORP,7.96B,531.30B,184.92,33.64,12.1,61.02B
AVGO,AVGO US Equity,BROADCOM INC,6.29B,1.60T,339.81,68.96,47.63,63.89B
VOO,VOO US Equity,VANGUARD S&P 500,5.97B,858.97B,625.96,--,17.27,--
RSP,RSP US Equity,INVESCO S&P 500,5.85B,77.56B,193.65,--,11.97,--
GLD,GLD US Equity,SPDR GOLD SHARES,5.71B,145.69B,395.8,--,63.47,--
NFLX,NFLX US Equity,NETFLIX INC,5.32B,428.48B,93.77,39.08,5.2,43.38B
BABA,BABA US Equity,ALIBABA GRP-ADR,5.29B,358.13B,150.09,28.06,80.05,1.01T
DIA,DIA US Equity,SPDR DJIA TRUST,5.16B,43.71B,485.17,--,15.55,--
IBIT,IBIT US Equity,ISHARES BITCOIN,5.12B,66.74B,48.66,--,-8.28,--
SNDK,SNDK US Equity,SANDISK CORP,5.01B,29.58B,201.87,288.63,--,7.78B
SOXL,SOXL US Equity,DIR SEMI BULL 3X,4.83B,11.79B,41.18,--,51.74,--
IVV,IVV US Equity,ISHARES-C S&P500,4.67B,674.67B,684.15,--,17.3,--
MSTR,MSTR US Equity,STRATEGY INC,4.67B,46.57B,162.08,--,-44.04,474.94M
SMH,SMH US Equity,V/E SEMICONDUCT,4.22B,36.08B,352.9,--,45.72,--
CRWV,CRWV US Equity,COREWEAVE I-CL A,4.04B,36.50B,72.35,--,--,4.31B
LLY,LLY US Equity,ELI LILLY & CO,3.96B,1.00T,1062.19,44.65,38.6,59.42B
XLK,XLK US Equity,SS TECH SEL SECT,3.94B,92.18B,142.3,--,22.97,--
HOOD,HOOD US Equity,ROBINHOOD MARK-A,3.91B,103.81B,115.26,48.71,209.34,4.20B
CDTX,CDTX US Equity,CIDARA THERAPEUT,3.75B,6.92B,220.1,--,718.82,0
LQD,LQD US Equity,ISHARES IBOXX IN,3.47B,31.49B,110.3,--,7.58,--
TLT,TLT US Equity,ISHARES 20+YR TR,3.43B,47.64B,87.4,--,4.13,--
AMAT,AMAT US Equity,APPLIED MATERIAL,3.37B,207.17B,261.27,27.99,62.28,28.37B
COIN,COIN US Equity,COINBASE GLOBA-A,3.33B,67.52B,250.42,23.34,0.85,7.67B
HYG,HYG US Equity,ISHARES IBOXX HI,3.28B,20.40B,80.61,--,8.06,--
SQQQ,SQQQ US Equity,PROSHARES UL SHO,3.27B,2.59B,71.59,--,-52.07,--
JPM,JPM US Equity,JPMORGAN CHASE,3.14B,871.18B,320.02,15.93,36.39,277.72B
CRCL,CRCL US Equity,CIRCLE INTERNET,3.11B,17.77B,75.46,--,--,2.40B
CSCO,CSCO US Equity,CISCO SYSTEMS,3.02B,309.17B,78.25,28.37,35.64,57.70B
TSLL,TSLL US Equity,DIREXION DAILY T,2.87B,7.40B,21.71,--,-17.32,--
UNH,UNH US Equity,UNITEDHEALTH GRP,2.80B,308.98B,341.1,17.27,-30.89,435.16B
NBIS,NBIS US Equity,NEBIUS GROUP NV,2.73B,20.43B,81.14,--,192.92,344.40M
BE,BE US Equity,BLOOM ENERGY C-A,2.64B,21.19B,89.58,800.13,303.33,1.82B
INTC,INTC US Equity,INTEL CORP,2.54B,178.92B,37.51,--,87.08,53.44B
SOFI,SOFI US Equity,SOFI TECHNOLOGIE,2.46B,32.51B,25.82,47.74,67.66,4.44B
PFE,PFE US Equity,PFIZER INC,2.43B,150.27B,26.43,9.84,6.86,62.79B
