trade_date,ul,contract_symbol,expiration,strike,contract_type,implied_vol,volume,open_interest,market_cap,ul_price,last_price,pct_moneyness,moneyness,opt_multiplier,days_to_expiration,option_premium,premium_threshold,abnormal_volume,abnormal_volume3,abnormal_volume4,trade_date_prev,open_interest_prev,open_interest_premium_prev,volume_prev,option_premium_prev
2025/10/28,GOOGL,GOOGL251219C00285000,19/12/2025,285,Call,0.370794866,442,1212,3.24086E+12,267.7,,1.06,OTM,100,51,371280,2000000,FALSE,FALSE,FALSE,23/10/2025,1212,2000000,442,371280
2025/10/28,GOOGL,GOOGL251219C00290000,19/12/2025,290,Call,0.372747972,452,4624,3.24086E+12,267.7,,1.08,OTM,100,51,323632,2000000,FALSE,FALSE,FALSE,23/10/2025,4624,2000000,452,323632
2025/10/28,GOOGL,GOOGL251219C00295000,19/12/2025,295,Call,0.372076592,195,808,3.24086E+12,267.7,,1.1,OTM,100,51,116025,2000000,FALSE,FALSE,FALSE,23/10/2025,808,2000000,195,116025
2025/10/28,GOOGL,GOOGL251219C00300000,19/12/2025,300,Call,0.373541421,754,21963,3.24086E+12,267.7,,1.12,OTM,100,51,369460,2000000,FALSE,FALSE,FALSE,23/10/2025,21963,2000000,754,369460
2025/10/28,GOOGL,GOOGL251219C00305000,19/12/2025,305,Call,0.37500625,172,761,3.24086E+12,267.7,,1.14,OTM,100,51,68628,2000000,FALSE,FALSE,FALSE,23/10/2025,761,2000000,172,68628
2025/10/28,GOOGL,GOOGL251219C00310000,19/12/2025,310,Call,0.377081425,315,1270,3.24086E+12,267.7,,1.16,OTM,100,51,105525,2000000,FALSE,FALSE,FALSE,23/10/2025,1270,2000000,315,105525
2025/10/28,GOOGL,GOOGL251219C00315000,19/12/2025,315,Call,0.378607288,283,256,3.24086E+12,267.7,,1.18,OTM,100,51,77825,2000000,FALSE,FALSE,FALSE,23/10/2025,256,2000000,283,77825
2025/10/28,GOOGL,GOOGL251219C00320000,19/12/2025,320,Call,0.380743497,266,1412,3.24086E+12,267.7,,1.2,OTM,100,51,60648,2000000,FALSE,FALSE,FALSE,23/10/2025,1412,2000000,266,60648
2025/10/28,GOOGL,GOOGL251219C00325000,19/12/2025,325,Call,0.383184879,47,611,3.24086E+12,267.7,,1.21,OTM,100,51,8883,2000000,FALSE,FALSE,FALSE,23/10/2025,611,2000000,47,8883
2025/10/28,GOOGL,GOOGL251219C00330000,19/12/2025,330,Call,0.385870399,303,6639,3.24086E+12,267.7,,1.23,OTM,100,51,47571,2000000,FALSE,FALSE,FALSE,23/10/2025,6639,2000000,303,47571
2025/10/28,GOOGL,GOOGL251219C00335000,19/12/2025,335,Call,0.388677988,66,124,3.24086E+12,267.7,,1.25,OTM,100,51,8052,2000000,FALSE,FALSE,FALSE,23/10/2025,124,2000000,66,8052
