Symbol,Underlying
MSTU,MSTR
NVDX,NVDA
TSLT,TSLA
BTCL,BTC
ETU,ETH
CCUP,CRCL
CRWU,CRWV
AAPX,AAPL
GOOX,GOOL
MSFT,MSFX
NFLU,NFLX
ROBN,HOOD
ARMU,ARM
DJTU,DJT
RBLU,RBLX
GMEU,GME
SNOU,SNOW
SMUP,SMR
DKUP,DKNG
BULU,BULL
GLXU,GLXY
AFRU,AFRM
AXUP,AXON
KTUP,KTOS
TTDU,TTD
BKNU,BKNG
PXIU,UPXI
BMNU,BMNR
SBTU,SBET
NVDQ,NVDA
TSLZ,TSLA
BTCZ,BTC
CRCD,CRCL
CORD,CRWV
APLX,APLD
APPX,APP
ARCX,ACHR
ASTX,ASTS
AURU,AUR
BLSX,BLSH
CEGX,CEG
CELT,CELH
CLSX,CLSK
COZX,CORZ
CRDU,CRDO
CWVX,CRWV
DASX,DASH
DOGD,DDOG
ENPX,ENPH
FLYT,FLY
GEVX,GEV
GSX,GS
IREX,IREN
JOBX,JOBY
LABX,ALAB
LRCU,LRCX
LYFX,LYFT
MDBX,MDB
NEBX,NBIS
NETX,NET
NVTX,NVTS
NWMX,NEM
OKTX,OKTA
OPEX,OPEN
PONX,PONY
QBTX,QBTS
QSX,QS
QUBX,QUBT
RGTU,RGTI
SMU,SMR
TARK,ARKK
TEMT,TEM
UNX,U
UPSX,UPST
VOYX,VOYG
WULX,WULF
SARK,ARKK
TSLQ,TSLA
AAPU,AAPL
AMUU,AMD
AMZD,AMZN
AVL,AVGO
BOEU,BA
BRKU,BRKB
CSCL,CSCO
FRDU,FLY
GGLL,GOOGL
ELIL,LLY
LMTL,LMT
METU,MSFT
MSFU,MU
MUU,NFLX
NFXL,NVDA
NVDU,PANW
PALU,PLTR
QCMU,QCOM
SHPU,SHOP
TSLL,TSLA
TSMX,TSM
XOMX,XOM
MSTX,MSTR
SMCX,SMCI
IONX,IONQ
HIMZ,HIMZ
LLYX,LLY
AVGX,AVGO
NVOX,NVO
RKLX,RKLB
PLTZ,PLTR
SOFX,SOFI
OKLL,OKLO
RGTX,RGTI
ORCX,ORCL
SMST,MSTR
HOOX,HOOD
RIOX,RIOT
SMCZ,SMCI
SOUX,SOUN
IONZ,IONQ
VSTL,VST
CVNX,CVNA
DKNX,DKNX
JPX,JPM
LLYZ,LLY
ANEL,ANET
XPM,PM
OSCX,OSCR
QBTZ,QBTS
RGTZ,RGTI
LMNX,LMND
IRE,IREN
QSU,QS
MPL,MP
AVXX,AVAV
AAPB,AAPL
AMDL,AMD
AMZZ,AMZN
AVGU,AVGO
BABX,BABA
BULX,BULL
CONL,COIN
CRWL,CRWV
DLLL,DELL
ETRL,ETOR
INTW,INTC
IONL,IONQ
ISUL,ISRG
LCDL,LCID
MRAL,MARA
FBL,META
MVLL,MRVL
MSFL,MSFT
MSTP,MSTR
MULL,MU
NBIL,NBIS
NOWL,NOW
NVDL,NVDA
PDDL,PDD
PTIR,PLTR
QCML,QCOM
RDTL,RDDT
RVNL,RIVN
SMCL,SMCI
TSLR,TSLA
TSMU,TSM
UBRL,UBER
VRTL,VRT
CONI,COIN
MSDD,MSTR
NVD,NVDA
TSDD,TSLA
AALG,AAL
ADBG,ADBE
AMDG,AMD
ARMG,ARM
ASMG,ASML
AVGG,AVGO
BAIG,BBAI
BLSG,BLSH
BMNG,BMNR
BOEG,BA
BULG,BULL
COIG,COIN
COIO,COIN
COTG,COST
CRCG,CRCL
CRMG,CRM
CRWG,CRWV
FIGG,FIG
FUTG,FUTU
GEMG,GEMI
GLGG,GLXY
HOOG,HOOD
LULG,LULU
MPG,MP
MSOO,MSTR
NBIG,NBIS
NVDG,NVDA
NVDO,NVDA
OSCG,OSCR
PANG,PANW
PLOO,PLTR
PLTG,PLTR
PYPG,PYPL
RTXG,RTX
TSLG,TSLA
TSLO,TSLA
TSMG,TSM
UNHG,UNH
XYZG,XYZ
